,Country,Confirmed,Death,Recovered,Active,New cases,New death,New recovered,Death/100 Cases,Recovered/100 Cases,Death/100 Recovered,Population,Cases/Million People
0,Afghanistan,45966,1752,36709,7505,127,12,414,3.81,79.86,4.77,38928341,1181.0
1,Albania,36790,787,18152,17851,545,16,397,2.14,49.34,4.34,2877800,12784.0
2,Algeria,81212,2393,52568,26251,1044,21,622,2.95,64.73,4.55,43851043,1852.0
3,Andorra,6610,76,5710,824,0,0,0,1.15,86.38,1.33,77265,85550.0
4,Angola,15087,345,7763,6979,79,3,66,2.29,51.45,4.44,32866268,459.0
5,Antigua and Barbuda,141,4,130,7,0,0,0,2.84,92.2,3.08,97928,1440.0
6,Argentina,1413375,38322,1242877,132176,6098,106,7620,2.71,87.94,3.08,45195777,31272.0
7,Armenia,133594,2121,106479,24994,1248,31,1330,1.59,79.7,1.99,2963234,45084.0
8,Australia,27892,907,25588,1397,6,0,3,3.25,91.74,3.54,50919400,548.0
9,Austria,275661,3018,210697,61946,4669,132,7446,1.09,76.43,1.43,9006400,30607.0
10,Azerbaijan,114025,1323,71691,41011,4212,32,1760,1.16,62.87,1.85,10139175,11246.0
11,Bahamas,7496,163,5830,1503,0,0,0,2.17,77.77,2.8,393248,19062.0
12,Bahrain,86645,341,84785,1519,130,0,132,0.39,97.85,0.4,1701583,50920.0
13,Bangladesh,460619,6580,375885,78154,1908,36,2209,1.43,81.6,1.75,164689383,2797.0
14,Barbados,270,7,249,14,0,0,0,2.59,92.22,2.81,287371,940.0
15,Belarus,133324,1143,111455,20726,1691,7,1303,0.86,83.6,1.03,9449321,14109.0
16,Belgium,574448,16461,0,557987,3619,122,0,2.87,0.0,inf,11589616,49566.0
17,Belize,5647,144,3072,2431,60,3,16,2.55,54.4,4.69,397621,14202.0
18,Benin,2974,43,2819,112,0,0,240,1.45,94.79,1.53,12123198,245.0
19,Bhutan,396,0,373,23,1,0,1,0.0,94.19,0.0,771612,513.0
20,Bolivia,144592,8949,121280,14363,98,6,230,6.19,83.88,7.38,11673029,12387.0
21,Bosnia and Herzegovina,86710,2576,51068,33066,1279,34,1067,2.97,58.9,5.04,3280815,26429.0
22,Botswana,10258,31,7717,2510,0,0,0,0.3,75.23,0.4,2351625,4362.0
23,Brazil,6290272,172561,5581436,536275,51922,587,0,2.74,88.73,3.09,212559409,29593.0
24,Brunei,150,3,145,2,0,0,0,2.0,96.67,2.07,437483,343.0
25,Bulgaria,141747,3749,47779,90219,1792,69,1039,2.64,33.71,7.85,6948445,20400.0
26,Burkina Faso,2816,68,2579,169,0,0,0,2.41,91.58,2.64,20903278,135.0
27,Burma,87977,1887,67588,18502,1344,22,1616,2.14,76.82,2.79,54409800,1617.0
28,Burundi,681,1,575,105,0,0,0,0.15,84.43,0.17,11890781,57.0
29,Cabo Verde,10700,105,10161,434,74,0,73,0.98,94.96,1.03,555988,19245.0
30,Cambodia,315,0,301,14,7,0,2,0.0,95.56,0.0,16718971,19.0
31,Cameroon,24117,437,22177,1503,0,0,0,1.81,91.96,1.97,26545864,909.0
32,Canada,368279,11993,295475,60811,5675,77,4254,3.26,80.23,4.06,75711404,4864.0
33,Central African Republic,4913,63,1924,2926,0,0,0,1.28,39.16,3.27,4829764,1017.0
34,Chad,1663,101,1504,58,0,0,5,6.07,90.44,6.72,16425859,101.0
35,Chile,548941,15322,523692,9927,1698,44,1433,2.79,95.4,2.93,19116209,28716.0
36,China,92681,4743,86968,970,95,1,31,5.12,93.84,5.45,1439323776,64.0
37,Colombia,1299613,36401,1197204,66008,9103,187,7705,2.8,92.12,3.04,50882884,25541.0
38,Comoros,611,7,586,18,1,0,1,1.15,95.91,1.19,869595,703.0
39,Congo (Brazzaville),5774,94,4988,692,0,0,0,1.63,86.39,1.88,89561403,64.0
40,Congo (Kinshasa),12608,333,11495,780,138,0,0,2.64,91.17,2.9,5518087,2285.0
41,Costa Rica,137093,1690,84991,50412,0,0,0,1.23,62.0,1.99,5094114,26912.0
42,Cote d'Ivoire,21261,131,20912,218,29,0,39,0.62,98.36,0.63,26378274,806.0
43,Croatia,123693,1655,98465,23573,3987,55,2767,1.34,79.6,1.68,4105268,30130.0
44,Cuba,8173,133,7554,486,63,0,29,1.63,92.43,1.76,11326616,722.0
45,Cyprus,10231,48,2057,8126,248,0,0,0.47,20.11,2.33,1207361,8474.0
46,Czechia,518649,8054,442327,68268,2665,87,17301,1.55,85.28,1.82,10708981,48431.0
47,Denmark,78874,823,61977,16074,1638,7,1149,1.04,78.58,1.33,5897840,13373.0
48,Djibouti,5676,61,5577,38,0,0,1,1.07,98.26,1.09,988002,5745.0
49,Dominica,85,0,63,22,5,0,0,0.0,74.12,0.0,71991,1181.0
50,Dominican Republic,142653,2328,114317,26008,876,4,500,1.63,80.14,2.04,10847904,13150.0
51,Ecuador,190909,13371,164009,13529,1375,13,0,7.0,85.91,8.15,17643060,10821.0
52,Egypt,115183,6621,102490,6072,351,13,100,5.75,88.98,6.46,102334403,1126.0
53,El Salvador,38405,1107,35078,2220,0,5,0,2.88,91.34,3.16,6486201,5921.0
54,Equatorial Guinea,5153,85,5009,59,7,0,4,1.65,97.21,1.7,1402985,3673.0
55,Eritrea,577,0,498,79,11,0,21,0.0,86.31,0.0,3546427,163.0
56,Estonia,11698,109,6974,4615,375,5,264,0.93,59.62,1.56,1326539,8818.0
57,Eswatini,6406,121,5987,298,44,1,28,1.89,93.46,2.02,1160164,5522.0
58,Ethiopia,108930,1695,68250,38985,492,9,744,1.56,62.65,2.48,114963583,948.0
59,Fiji,38,2,33,3,0,0,0,5.26,86.84,6.06,896444,42.0
60,Finland,24307,393,16800,7114,541,0,0,1.62,69.12,2.34,5540718,4387.0
61,France,2260789,52212,166715,2041862,12580,213,1222,2.31,7.37,31.32,68136441,33180.0
62,Gabon,9191,59,9037,95,0,0,0,0.64,98.32,0.65,2225728,4129.0
63,Gambia,3731,123,3590,18,0,0,0,3.3,96.22,3.43,2416664,1544.0
64,Georgia,127942,1195,106328,20419,4472,34,4058,0.93,83.11,1.12,3989175,32072.0
65,Germany,1052494,16181,718604,317709,13845,170,13391,1.54,68.28,2.25,83783945,12562.0
66,Ghana,51379,323,50298,758,154,0,171,0.63,97.9,0.64,31072945,1653.0
67,Greece,103034,2223,23074,77737,1747,121,0,2.16,22.39,9.63,10423056,9885.0
68,Grenada,41,0,30,11,0,0,0,0.0,73.17,0.0,112519,364.0
69,Guatemala,121798,4161,110209,7428,666,20,590,3.42,90.49,3.78,17915567,6798.0
70,Guinea,13039,76,11982,981,0,0,0,0.58,91.89,0.63,13132792,993.0
71,Guinea-Bissau,2422,43,2309,70,0,0,0,1.78,95.33,1.86,1967998,1231.0
72,Guyana,5338,149,4317,872,28,0,45,2.79,80.87,3.45,786559,6787.0
73,Haiti,9272,232,7951,1089,8,0,0,2.5,85.75,2.92,11402533,813.0
74,Holy See,27,0,15,12,0,0,0,0.0,55.56,0.0,809,33375.0
