,Country,Confirmed,Death,Recovered,Active,New cases,New death,New recovered,Death/100 Cases,Recovered/100 Cases,Death/100 Recovered,Population,Cases/Million People
0,Afghanistan,41633,1541,34342,5750,132,5,16,3.7,82.49,4.49,38928341,1069.0
1,Albania,21523,527,11367,9629,321,9,121,2.45,52.81,4.64,2877800,7479.0
2,Algeria,58574,1980,40577,16017,302,7,182,3.38,69.27,4.88,43851043,1336.0
3,Andorra,4888,75,3548,1265,63,0,73,1.53,72.59,2.11,77265,63263.0
4,Angola,11228,289,5172,5767,193,3,252,2.57,46.06,5.59,32866268,342.0
5,Antigua and Barbuda,128,3,117,8,0,0,0,2.34,91.41,2.56,97928,1307.0
6,Argentina,1183131,31623,998016,153492,9598,483,12700,2.67,84.35,3.17,45195777,26178.0
7,Armenia,93448,1391,56466,35591,1194,28,639,1.49,60.43,2.46,2963234,31536.0
8,Australia,27610,907,25384,1319,9,0,32,3.29,91.94,3.57,50919400,542.0
9,Austria,114016,1159,71691,41166,4135,29,2355,1.02,62.88,1.62,9006400,12659.0
10,Azerbaijan,57040,753,44479,11808,596,13,322,1.32,77.98,1.69,10139175,5626.0
11,Bahamas,6735,146,4493,2096,21,2,71,2.17,66.71,3.25,393248,17127.0
12,Bahrain,82133,322,79318,2493,210,1,321,0.39,96.57,0.41,1701583,48269.0
13,Bangladesh,410988,5966,327901,77121,1736,25,1961,1.45,79.78,1.82,164689383,2496.0
14,Barbados,238,7,222,9,1,0,1,2.94,93.28,3.15,287371,828.0
15,Belarus,100400,989,87400,12011,941,4,212,0.99,87.05,1.13,9449321,10625.0
16,Belgium,447355,11858,25999,409498,6337,121,180,2.65,5.81,45.61,11589616,38600.0
17,Belize,3624,59,2230,1335,47,0,23,1.63,61.53,2.65,397621,9114.0
18,Benin,2683,41,2455,187,0,0,0,1.53,91.5,1.67,12123198,221.0
19,Bhutan,356,0,326,30,2,0,1,0.0,91.57,0.0,771612,461.0
20,Bolivia,141867,8741,112055,21071,34,10,207,6.16,78.99,7.8,11673029,12153.0
21,Bosnia and Herzegovina,52269,1280,28567,22422,764,32,373,2.45,54.65,4.48,3280815,15932.0
22,Botswana,6642,24,4676,1942,0,0,0,0.36,70.4,0.51,2351625,2824.0
23,Brazil,5554206,160253,5039438,354515,8501,179,17100,2.89,90.73,3.18,212559409,26130.0
24,Brunei,148,3,143,2,0,0,0,2.03,96.62,2.1,437483,338.0
25,Bulgaria,56496,1349,21037,34110,2427,51,507,2.39,37.24,6.41,6948445,8131.0
26,Burkina Faso,2517,67,2281,169,17,0,31,2.66,90.62,2.94,20903278,120.0
27,Burma,54607,1282,37954,15371,1202,24,3765,2.35,69.5,3.38,54409800,1004.0
28,Burundi,589,1,511,77,0,0,0,0.17,86.76,0.2,11890781,50.0
29,Cabo Verde,8882,95,8110,677,34,0,98,1.07,91.31,1.17,555988,15975.0
30,Cambodia,292,0,283,9,0,0,0,0.0,96.92,0.0,16718971,17.0
31,Cameroon,22103,429,21151,523,0,0,0,1.94,95.69,2.03,26545864,833.0
32,Canada,243178,10262,203128,29788,3529,32,2360,4.22,83.53,5.05,75711404,3212.0
33,Central African Republic,4866,62,1924,2880,0,0,0,1.27,39.54,3.22,4829764,1008.0
34,Chad,1499,98,1329,72,1,0,5,6.54,88.66,7.37,16425859,91.0
35,Chile,513140,14302,489525,9313,1276,55,1359,2.79,95.4,2.92,19116209,26843.0
36,China,91452,4739,86189,524,55,0,27,5.18,94.25,5.5,1439323776,64.0
37,Colombia,1093256,31653,985796,75807,9935,138,7992,2.9,90.17,3.21,50882884,21486.0
38,Comoros,545,7,498,40,0,0,0,1.28,91.38,1.41,869595,627.0
39,Congo (Brazzaville),5290,92,3887,1311,0,0,0,1.74,73.48,2.37,89561403,59.0
40,Congo (Kinshasa),11395,308,10768,319,22,0,0,2.7,94.5,2.86,5518087,2065.0
