Country,Population
Afghanistan,38928341
Albania,2877800
Algeria,43851043
Andorra,77265
Angola,32866268
Antigua and Barbuda,97928
Argentina,45195777
Armenia,2963234
Australia,50919400
Austria,9006400
Azerbaijan,10139175
Bahamas,393248
Bahrain,1701583
Bangladesh,164689383
Barbados,287371
Belarus,9449321
Belgium,11589616
Belize,397621
Benin,12123198
Bhutan,771612
Bolivia,11673029
Bosnia and Herzegovina,3280815
Botswana,2351625
Brazil,212559409
Brunei,437483
Bulgaria,6948445
Burkina Faso,20903278
Burma,54409800
Burundi,11890781
Cabo Verde,555988
Cambodia,16718971
Cameroon,26545864
Canada,75711404
Central African Republic,4829764
Chad,16425859
Chile,19116209
China,1439323776
Colombia,50882884
Comoros,869595
Congo (Brazzaville),89561403
Congo (Kinshasa),5518087
Costa Rica,5094114
Cote d'Ivoire,26378274
Croatia,4105268
Cuba,11326616
Cyprus,1207361
Czechia,10708981
Denmark,5897840
Djibouti,988002
Dominica,71991
Dominican Republic,10847904
Ecuador,17643060
Egypt,102334403
El Salvador,6486201
Equatorial Guinea,1402985
Eritrea,3546427
Estonia,1326539
Eswatini,1160164
Ethiopia,114963583
Fiji,896444
Finland,5540718
France,68136441
Gabon,2225728
Gambia,2416664
Georgia,3989175
Germany,83783945
Ghana,31072945
Greece,10423056
Grenada,112519
Guatemala,17915567
Guinea,13132792
Guinea-Bissau,1967998
Guyana,786559
Haiti,11402533
Holy See,809
Honduras,9904608
Hungary,9660350
Iceland,341250
India,1380004385
Indonesia,273523621
Iran,83992953
Iraq,40222503
Ireland,4937796
Israel,8655541
Italy,60461828
Jamaica,2961161
Japan,126476458
Jordan,10203140
Kazakhstan,18776707
Kenya,53771300
"Korea, South",51269183
Kosovo,1793000
Kuwait,4270563
Kyrgyzstan,6524191
Laos,7275556
Latvia,1886202
Lebanon,6825442
Lesotho,2142249
Liberia,5057677
Libya,6871287
Liechtenstein,38137
Lithuania,2722291
Luxembourg,625976
MS Zaandam,76804
Madagascar,27691019
Malawi,19129955
Malaysia,32365998
Maldives,540542
Mali,20250834
Malta,441539
Marshall Islands,59326
Mauritania,4649660
Mauritius,1271767
Mexico,128932753
Moldova,4033963
Monaco,39244
Mongolia,3278292
Montenegro,628062
Morocco,36910558
Mozambique,31255435
Namibia,2540916
Nepal,29136808
Netherlands,17474842
New Zealand,4822233
Nicaragua,6624554
Niger,24206636
Nigeria,206139587
North Macedonia,2083380
Norway,5421242
Oman,5106622
Pakistan,220892331
Panama,4314768
Papua New Guinea,8947027
Paraguay,7132530
Peru,32971846
Philippines,109581085
Poland,37846605
Portugal,10196707
Qatar,2881060
Romania,19237682
Russia,145934460
Rwanda,12952209
Saint Kitts and Nevis,53109
Saint Lucia,183629
Saint Vincent and the Grenadines,110854
San Marino,33938
Sao Tome and Principe,219159
Saudi Arabia,34813867
Senegal,16743930
Serbia,8737370
Seychelles,98340
Sierra Leone,7976985
Singapore,5850343
Slovakia,5459643
Slovenia,2078932
Solomon Islands,686884
Somalia,15893219
South Africa,59308690
South Sudan,11193729
Spain,93691843
Sri Lanka,21413250
Sudan,43849269
Suriname,586634
Sweden,10099270
Switzerland,8654618
Syria,17500657
Taiwan*,23806638
Tajikistan,9537642
Tanzania,59734213
Thailand,69799978
Timor-Leste,1318442
Togo,8278737
Trinidad and Tobago,1399491
Tunisia,11818618
Turkey,84339067
US,330541757
Uganda,45741000
Ukraine,43733759
United Arab Emirates,9890400
United Kingdom,68395658
Uruguay,3473727
Uzbekistan,33469199
Venezuela,28435943
Vietnam,97338583
West Bank and Gaza,4543126
Western Sahara,597330
Yemen,29825968
Zambia,18383956
Zimbabwe,14862927
