Date,Confirmed,Death,Recovered,Active,New cases,Death/100 Cases,Recovered/100 Cases,Death/100 Recovered,Country
2020-01-22,555,17,28,510,0,3.06,5.05,60.71,6
2020-01-23,654,18,30,606,99,2.75,4.59,60.0,8
2020-01-24,941,26,36,879,287,2.76,3.83,72.22,9
2020-01-25,1434,42,39,1353,493,2.93,2.72,107.69,11
2020-01-26,2118,56,52,2010,684,2.64,2.46,107.69,13
2020-01-27,2927,82,61,2784,809,2.8,2.08,134.43,16
2020-01-28,5578,131,107,5340,2651,2.35,1.92,122.43,16
2020-01-29,6167,133,126,5908,589,2.16,2.04,105.56,18
2020-01-30,8235,171,143,7921,2068,2.08,1.74,119.58,20
2020-01-31,9927,213,222,9492,1692,2.15,2.24,95.95,23
2020-02-01,12038,259,284,11495,2111,2.15,2.36,91.2,25
2020-02-02,16787,362,472,15953,4749,2.16,2.81,76.69,25
2020-02-03,19887,426,623,18838,3100,2.14,3.13,68.38,25
2020-02-04,23898,492,852,22554,4011,2.06,3.57,57.75,26
2020-02-05,27643,564,1124,25955,3745,2.04,4.07,50.18,26
2020-02-06,30803,634,1487,28682,3160,2.06,4.83,42.64,26
2020-02-07,34396,719,2011,31666,3593,2.09,5.85,35.75,27
2020-02-08,37130,806,2616,33708,2734,2.17,7.05,30.81,27
2020-02-09,40160,906,3244,36010,3030,2.26,8.08,27.93,27
2020-02-10,42769,1013,3946,37810,2609,2.37,9.23,25.67,27
2020-02-11,44811,1113,4683,39015,2042,2.48,10.45,23.77,27
2020-02-12,45229,1118,5150,38961,418,2.47,11.39,21.71,27
2020-02-13,60382,1371,6295,52716,15153,2.27,10.43,21.78,27
2020-02-14,66909,1523,8058,57328,6527,2.28,12.04,18.9,28
2020-02-15,69051,1666,9395,57990,2142,2.41,13.61,17.73,28
2020-02-16,71235,1770,10865,58600,2184,2.48,15.25,16.29,28
2020-02-17,73270,1868,12583,58819,2035,2.55,17.17,14.85,28
2020-02-18,75152,2008,14352,58792,1882,2.67,19.1,13.99,28
2020-02-19,75652,2123,16121,57408,500,2.81,21.31,13.17,29
2020-02-20,76212,2248,18177,55787,560,2.95,23.85,12.37,29
2020-02-21,76841,2252,18890,55699,629,2.93,24.58,11.92,31
2020-02-22,78602,2459,22886,53257,1761,3.13,29.12,10.74,31
2020-02-23,78982,2470,23394,53118,380,3.13,29.62,10.56,32
2020-02-24,79546,2630,25227,51689,564,3.31,31.71,10.43,37
2020-02-25,80399,2710,27905,49784,853,3.37,34.71,9.71,42
2020-02-26,81376,2771,30384,48221,977,3.41,37.34,9.12,48
2020-02-27,82736,2814,33277,46645,1360,3.4,40.22,8.46,52
